2.855e-05	2.9258e-05	2.9412e-05	2.9739e-05	2.9886e-05	2.9451e-05	2.9096e-05	3.0687e-05	3.0137e-05		3.2301e-05	3.3385e-05	3.4615e-05	2.87e-07	3.422e-05	3.4408e-05	3.2574e-05	3.794e-05	3.3954e-05		3.1531e-05	2.9547e-05	3.5101e-05	2.44e-07	3.4086e-05	3.4131e-05	2.9113e-05	3.7645e-05	3.532e-05	
2.4776e-05	2.4841e-05	2.778e-05	2.9574e-05	2.6824e-05	2.7479e-05	2.5919e-05	2.9783e-05	2.7512e-05		2.9397e-05	2.953e-05	2.939e-05	3.5473e-05	4.3212e-05	4.3895e-05	4.3671e-05	3.3963e-05	3.157e-05		2.9493e-05	2.9405e-05	2.9582e-05	3.0734e-05	3.0866e-05	2.956e-05	3.0895e-05	3.5329e-05	2.9486e-05	
2.4631e-05	2.6972e-05	2.4965e-05	2.5058e-05	2.5356e-05	2.6054e-05	2.5009e-05	2.9122e-05	2.4542e-05		2.9555e-05	2.9523e-05	2.9611e-05	2.9431e-05	3.2071e-05	3.0226e-05	2.9805e-05	3.4636e-05	1.862e-06		2.9402e-05	2.9481e-05	2.9424e-05	2.9523e-05	3.216e-05	3.0354e-05	3.2213e-05	3.4439e-05	1.841e-06	
2.4887e-05	2.4849e-05	2.5043e-05	2.7002e-05	2.5579e-05	2.5997e-05	2.596e-05	2.8486e-05	2.6775e-05		2.9507e-05	2.9343e-05	2.9491e-05	2.9421e-05	3.0884e-05	4.549e-06	3.0414e-05	3.5941e-05	2.9426e-05		2.9601e-05	2.9411e-05	2.9432e-05	2.9457e-05	3.1636e-05	3.915e-06	3.1115e-05	3.6429e-05	2.9435e-05	
2.496e-05	2.5e-05	2.5153e-05	2.6809e-05	2.5482e-05	2.5888e-05	2.6371e-05	2.9661e-05	2.7051e-05		8.661e-06	2.9414e-05	2.9529e-05	2.9444e-05	5.2674e-05	3.0622e-05	3.0496e-05	3.6035e-05	2.9561e-05		8.571e-06	2.9556e-05	2.9419e-05	2.9465e-05	3.2566e-05	3.1672e-05	3.0197e-05	3.4657e-05	2.9543e-05	
2.4835e-05	2.5036e-05	2.6633e-05	2.6748e-05	3.7359e-05	2.6184e-05	2.5398e-05	2.8312e-05	2.4507e-05		2.9445e-05	2.9473e-05	2.9486e-05	1.642e-06	3.2384e-05	1.0537e-05	3.2049e-05	3.6041e-05	3.7229e-05		2.9537e-05	2.943e-05	2.953e-05	1.623e-06	3.1777e-05	1.1326e-05	3.1173e-05	3.7943e-05	2.9406e-05	
2.6592e-05	2.4807e-05	2.463e-05	2.7269e-05	2.4899e-05	2.4627e-05	2.4492e-05	3.0596e-05	2.4649e-05		2.9437e-05	2.9514e-05	2.9327e-05	2.9466e-05	3.1112e-05	3.051e-05	3.1147e-05	3.7285e-05	2.9481e-05		2.948e-05	2.9387e-05	2.9496e-05	2.9493e-05	3.2469e-05	3.2199e-05	3.2448e-05	3.5516e-05	2.9549e-05	
2.4788e-05	2.6251e-05	2.6828e-05	2.6601e-05	2.7017e-05	2.5207e-05	2.4539e-05	2.896e-05	2.4483e-05		2.9545e-05	2.9419e-05	2.9559e-05	2.9537e-05	3.1632e-05	3.0735e-05	3.3724e-05	3.3216e-05	2.9409e-05		2.9519e-05	2.9464e-05	2.951e-05	2.943e-05	3.3959e-05	3.1186e-05	3.175e-05	3.3854e-05	2.9467e-05	
2.4948e-05	2.6406e-05	2.4918e-05	2.7089e-05	2.4707e-05	2.6283e-05	2.6962e-05	2.6824e-05	2.4859e-05		2.9372e-05	2.9483e-05	2.9539e-05	1.732e-06	3.426e-05	3.1321e-05	3.4278e-05	3.5199e-05	2.9471e-05		2.9482e-05	2.9498e-05	2.9517e-05	1.717e-06	3.4199e-05	3.3658e-05	3.195e-05	3.4196e-05	2.9465e-05	
2.6915e-05	2.6757e-05	2.5016e-05	2.6971e-05	2.5168e-05	2.5234e-05	2.7062e-05	3.9301e-05	2.5339e-05		2.9374e-05	2.9502e-05	2.9562e-05	5.765e-06	3.3632e-05	3.3808e-05	3.4468e-05	3.5429e-05	2.9471e-05		2.9571e-05	3.1255e-05	2.9553e-05	5.76e-06	3.4315e-05	3.1865e-05	3.1858e-05	3.3592e-05	2.9551e-05	
